"name","i","r","ln(r)","Lac","ln(Lac)"
"NDVI",1,3,1.09861228866811,1.41088658871497,0.34421829310946
"NDVI",1,5,1.6094379124341,1.24905958837201,0.222390938870109
"NDVI",1,9,2.19722457733622,1.13598129421325,0.127496853801816
"NDVI",1,17,2.83321334405622,1.0717468238143,0.0692898629406356
"NDVI",1,33,3.49650756146648,1.04540352264804,0.0444029569562453
"NDVI",1,65,4.17438726989564,1.03935921492827,0.0386043837692882
"NDVI",1,129,4.85981240436167,1.04273983506145,0.0418517058445298
"NDVI",1,257,5.54907608489522,1.05204600412116,0.0507368435125777
"NDVI",1,513,6.24027584517077,1.05048154413044,0.0492486724959882
"NDVI",1,857,6.75343791859778,1.01451330348882,0.014408993543066
"LAI",2,3,1.09861228866811,1.39033009823318,0.329541199691807
"LAI",2,5,1.6094379124341,1.2362862992735,0.212111965928975
"LAI",2,9,2.19722457733622,1.12737895724693,0.119895431640104
"LAI",2,17,2.83321334405622,1.06305972670588,0.0611512847107154
"LAI",2,33,3.49650756146648,1.03345395365815,0.0329065453572435
"LAI",2,65,4.17438726989564,1.02088475059931,0.0206696538683355
"LAI",2,129,4.85981240436167,1.01273158473104,0.0126512195051226
"LAI",2,257,5.54907608489522,1.00446052259252,0.00445060394558094
"LAI",2,513,6.24027584517077,1.00139791656501,0.00139694038928641
"LAI",2,857,6.75343791859778,1,0
"LULC",3,3,1.09861228866811,1.58839151745204,0.462721879950976
"LULC",3,5,1.6094379124341,1.50697804145842,0.410106348508617
"LULC",3,9,2.19722457733622,1.43525855358915,0.361345009698888
"LULC",3,17,2.83321334405622,1.37783034124197,0.320510045448475
"LULC",3,33,3.49650756146648,1.34160699752361,0.293868147317975
"LULC",3,65,4.17438726989564,1.33056688518268,0.285605080884351
"LULC",3,129,4.85981240436167,1.32756342436281,0.283345250290442
"LULC",3,257,5.54907608489522,1.2887515087282,0.253673927039481
"LULC",3,513,6.24027584517077,1.15180008391481,0.141326008945796
"LULC",3,857,6.75343791859778,1.02834280806798,0.0279485823271667
